composition,band_gap (eV),sum_MeltingT,mode_NpUnfilled,sum_NpValence,avg_Electronegativity,max_Electronegativity,mode_NUnfilled,max_NpValence,mode_NpValence,min_MeltingT,avg_NpValence,mode_Column,max_Column,mode_Electronegativity,avg_MeltingT,dev_NpValence,mode_GSvolume_pa,mode_NValence,min_GSvolume_pa,range_Column,sum_Column,mode_MendeleevNumber,max_MendeleevNumber,sum_Electronegativity,mode_MeltingT,range_SpaceGroupNumber,mode_Number,mode_AtomicWeight,dev_SpaceGroupNumber,dev_Column,sum_MendeleevNumber,avg_Column,avg_MendeleevNumber,range_MendeleevNumber,dev_NdValence,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled
Sr1 Zn1 In3,0.0,3031.93,5.0,3.0,1.588,1.78,5.0,1.0,1.0,429.75,0.6,13.0,13.0,1.78,606.386,0.48,24.26,13.0,13.96,11.0,53.0,75.0,75.0,7.939999999999999,429.75,86.0,49.0,114.818,33.84,3.4400000000000004,302.0,10.6,60.4,67.0,3.2,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004
Sr1 Zr1 O3,3.6122,3342.4,2.0,12.0,2.52,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,668.48,1.92,9.105,6.0,9.105,14.0,54.0,87.0,87.0,12.6,54.8,213.0,8.0,15.9994,94.8,6.24,313.0,10.8,62.6,79.0,0.6400000000000001,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Sr1 Zr1 S3,0.5512,4343.08,2.0,12.0,2.004,2.58,2.0,4.0,4.0,388.36,2.4,16.0,16.0,2.58,868.616,1.92,25.786875,6.0,23.195,14.0,54.0,88.0,88.0,10.02,388.36,155.0,16.0,32.065,66.96000000000001,6.24,316.0,10.8,63.2,80.0,0.6400000000000001,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Ta1 Ag1 S3,0.0,5690.01,2.0,12.0,2.234,2.58,2.0,4.0,4.0,388.36,2.4,16.0,16.0,2.58,1138.002,1.92,25.786875,6.0,16.33,11.0,64.0,88.0,88.0,11.17,388.36,159.0,16.0,32.065,75.36,3.84,377.0,12.8,75.4,40.0,3.12,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Ta1 Cl3 O1,3.0691,3859.6,1.0,19.0,2.884,3.44,1.0,5.0,5.0,54.8,3.8,17.0,17.0,3.16,771.9200000000001,1.52,24.4975,7.0,9.105,12.0,72.0,94.0,94.0,14.42,171.6,217.0,17.0,35.453,56.96,3.7600000000000007,417.0,14.4,83.4,46.0,0.96,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Ta1 Cu1 S3,0.418,5812.85,2.0,12.0,2.228,2.58,2.0,4.0,4.0,388.36,2.4,16.0,16.0,2.58,1162.5700000000002,1.92,25.786875,6.0,11.07,11.0,64.0,88.0,88.0,11.14,388.36,159.0,16.0,32.065,75.36,3.84,376.0,12.8,75.2,40.0,3.12,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Ta1 Tl1 O3,0.9801,4031.4,2.0,13.0,2.688,3.44,2.0,4.0,4.0,54.8,2.6,16.0,16.0,3.44,806.28,1.6800000000000002,9.105,6.0,9.105,11.0,66.0,87.0,87.0,13.44,54.8,217.0,8.0,15.9994,95.76,3.3600000000000003,385.0,13.2,77.0,39.0,3.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
Tb3 Al1 C1,0.0,9643.47,0.0,3.0,1.558,2.55,5.0,2.0,0.0,933.47,0.6000000000000001,3.0,14.0,1.21,1928.694,0.72,31.7366666667,11.0,5.64,11.0,36.0,29.0,77.0,7.79,1629.0,31.0,65.0,158.92535,9.919999999999996,5.040000000000001,237.0,7.200000000000001,47.4,48.0,0.0,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
Tb3 Al1 N1,0.0,5883.52,0.0,4.0,1.656,3.04,5.0,3.0,0.0,63.05,0.8,3.0,15.0,1.21,1176.704,0.96,31.7366666667,11.0,14.76875,12.0,37.0,29.0,82.0,8.280000000000001,1629.0,31.0,65.0,158.92535,9.919999999999996,5.279999999999999,242.0,7.4,48.400000000000006,53.0,0.0,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Tb3 Ga1 C1,0.0,9012.91,0.0,3.0,1.598,2.55,5.0,2.0,0.0,302.91,0.6000000000000001,3.0,14.0,1.21,1802.582,0.72,31.7366666667,11.0,5.64,11.0,36.0,29.0,77.0,7.989999999999999,1629.0,130.0,65.0,158.92535,41.6,5.040000000000001,238.0,7.200000000000001,47.6,48.0,3.2,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
Tb3 In1 N1,0.0,5379.8,0.0,4.0,1.6900000000000002,3.04,5.0,3.0,0.0,63.05,0.8,3.0,15.0,1.21,1075.9599999999998,0.96,31.7366666667,11.0,14.76875,12.0,37.0,29.0,82.0,8.45,1629.0,55.0,65.0,158.92535,17.6,5.279999999999999,244.0,7.4,48.8,53.0,3.2,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Tb1 B1 O3,4.4297,4141.4,2.0,13.0,2.714,3.44,2.0,4.0,4.0,54.8,2.6,16.0,16.0,3.44,828.2800000000001,1.6800000000000002,9.105,6.0,7.1725,13.0,64.0,87.0,87.0,13.57,54.8,182.0,8.0,15.9994,80.64,3.92,362.0,12.8,72.4,58.0,0.0,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
Tb1 B1 Rh3,0.0,10688.0,0.0,1.0,2.018,2.28,3.0,1.0,0.0,1629.0,0.2,9.0,13.0,2.28,2137.6000000000004,0.32,13.64,9.0,7.1725,10.0,43.0,59.0,72.0,10.09,2237.0,59.0,45.0,102.9055,21.6,2.24,278.0,8.6,55.6,43.0,3.84,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Tb1 Co1 O3,1.4209,3561.4,2.0,12.0,2.682,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,712.2800000000001,1.92,9.105,6.0,9.105,13.0,60.0,87.0,87.0,13.41,54.8,182.0,8.0,15.9994,87.36000000000001,4.800000000000001,348.0,12.0,69.6,58.0,2.24,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Tb1 Co1 Si3,0.0,8458.0,4.0,6.0,1.758,1.9,4.0,2.0,2.0,1629.0,1.2,14.0,14.0,1.9,1691.6,0.96,20.44,4.0,10.245,11.0,54.0,78.0,78.0,8.79,1687.0,33.0,14.0,28.0855,15.839999999999998,3.84,321.0,10.8,64.2,49.0,2.24,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Tb1 Cr1 O3,2.4854,3973.4,2.0,12.0,2.638,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,794.68,1.92,9.105,6.0,9.105,13.0,57.0,87.0,87.0,13.19,54.8,217.0,8.0,15.9994,95.76,5.52,339.0,11.4,67.8,58.0,1.6,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Tb1 Ga3 Os1,0.0,5843.73,5.0,3.0,1.7680000000000002,2.2,5.0,1.0,1.0,302.91,0.6,13.0,13.0,1.81,1168.746,0.48,18.8575,13.0,14.09,10.0,50.0,74.0,74.0,8.84,302.91,130.0,31.0,69.723,62.4,3.6,308.0,10.0,61.6,45.0,3.3600000000000003,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004
Tb1 Ga3 Ru1,0.0,5144.73,5.0,3.0,1.7680000000000002,2.2,5.0,1.0,1.0,302.91,0.6,13.0,13.0,1.81,1028.946,0.48,18.8575,13.0,13.51,10.0,50.0,74.0,74.0,8.84,302.91,130.0,31.0,69.723,62.4,3.6,307.0,10.0,61.400000000000006,45.0,3.12,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004
Tb1 Mn1 O3,0.4016,3312.4,2.0,12.0,2.616,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,662.48,1.92,9.105,6.0,9.105,13.0,58.0,87.0,87.0,13.08,54.8,205.0,8.0,15.9994,92.88,5.279999999999999,342.0,11.6,68.4,58.0,1.6,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Tb1 Ni1 Ge3,0.0,6991.200000000001,4.0,6.0,1.83,2.01,4.0,2.0,2.0,1211.4,1.2,14.0,14.0,2.01,1398.2400000000002,0.96,23.005,14.0,10.32,11.0,55.0,79.0,79.0,9.15,1211.4,31.0,32.0,72.64,9.919999999999993,3.6,327.0,11.0,65.4,50.0,3.04,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Tb1 Ni1 O3,0.0,3521.4,2.0,12.0,2.688,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,704.2800000000001,1.92,9.105,6.0,9.105,13.0,61.0,87.0,87.0,13.44,54.8,213.0,8.0,15.9994,94.8,4.5600000000000005,351.0,12.2,70.19999999999999,58.0,2.5600000000000005,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Tb1 Rh3 C1,0.0,12163.0,0.0,2.0,2.12,2.55,3.0,2.0,0.0,1629.0,0.4,9.0,14.0,2.28,2432.6,0.6400000000000001,13.64,9.0,5.64,11.0,44.0,59.0,77.0,10.6,2237.0,31.0,45.0,102.9055,14.879999999999995,2.3199999999999994,283.0,8.8,56.6,48.0,3.84,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002
Tb1 Rh1 O3,0.8749,4030.4,2.0,12.0,2.762,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,806.08,1.92,9.105,6.0,9.105,13.0,60.0,87.0,87.0,13.81,54.8,213.0,8.0,15.9994,94.8,4.800000000000001,349.0,12.0,69.8,58.0,2.5600000000000005,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Tb1 Sc1 S3,1.7696,4608.08,2.0,12.0,2.0620000000000003,2.58,2.0,4.0,4.0,388.36,2.4,16.0,16.0,2.58,921.616,1.92,25.786875,6.0,22.235,13.0,54.0,88.0,88.0,10.31,388.36,124.0,16.0,32.065,59.52,6.24,304.0,10.8,60.8,77.0,0.32,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Tb1 Si3 Ir1,0.0,9429.0,4.0,6.0,1.822,2.2,4.0,2.0,2.0,1629.0,1.2,14.0,14.0,1.9,1885.8,0.96,20.44,4.0,14.21,11.0,54.0,78.0,78.0,9.11,1687.0,33.0,14.0,28.0855,10.4,3.84,323.0,10.8,64.6,49.0,2.24,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Tb1 Si3 Rh1,0.0,8927.0,4.0,6.0,1.838,2.28,4.0,2.0,2.0,1629.0,1.2,14.0,14.0,1.9,1785.4,0.96,20.44,4.0,13.64,11.0,54.0,78.0,78.0,9.19,1687.0,33.0,14.0,28.0855,10.4,3.84,322.0,10.8,64.39999999999999,49.0,2.5600000000000005,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Tb1 V1 O3,1.4396,3976.4,2.0,12.0,2.632,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,795.2800000000001,1.92,9.105,6.0,9.105,13.0,56.0,87.0,87.0,13.16,54.8,217.0,8.0,15.9994,95.76,5.76,336.0,11.2,67.2,58.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Te1 H1 O3,2.2733,901.07,2.0,16.0,2.9240000000000004,3.44,2.0,4.0,4.0,14.01,3.2,16.0,16.0,3.44,180.214,1.2799999999999998,9.105,6.0,6.615,15.0,65.0,87.0,92.0,14.62,54.8,182.0,8.0,15.9994,77.28,4.800000000000001,443.0,13.0,88.6,5.0,3.2,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6399999999999999
Te1 Pb1 O3,3.2104,1487.67,2.0,18.0,2.95,3.44,2.0,4.0,4.0,54.8,3.6,16.0,16.0,3.44,297.534,0.6399999999999999,9.105,6.0,9.105,2.0,78.0,87.0,90.0,14.75,54.8,213.0,8.0,15.9994,84.72,0.6400000000000002,432.0,15.6,86.4,9.0,4.800000000000001,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002,0.6400000000000002
Th1 B1 Rh3,0.0,11082.0,0.0,1.0,2.036,2.28,3.0,1.0,0.0,2023.0,0.2,9.0,13.0,2.28,2216.4,0.32,13.64,9.0,7.1725,10.0,43.0,59.0,72.0,10.18,2237.0,59.0,45.0,102.9055,18.88000000000001,2.24,265.0,8.6,53.0,56.0,3.3600000000000003,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Th1 Co1 Si3,0.0,8852.0,4.0,6.0,1.7759999999999998,1.9,4.0,2.0,2.0,1687.0,1.2,14.0,14.0,1.9,1770.4,0.96,20.44,4.0,10.245,11.0,54.0,78.0,78.0,8.879999999999999,1687.0,33.0,14.0,28.0855,10.4,3.84,308.0,10.8,61.6,62.0,2.16,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Th1 Mn1 Se3,0.0,5024.0,2.0,12.0,2.1,2.55,2.0,4.0,4.0,494.0,2.4,16.0,16.0,2.55,1004.8,1.92,25.92,16.0,10.4875862069,13.0,58.0,89.0,89.0,10.5,494.0,211.0,34.0,78.96,99.36,5.279999999999999,335.0,11.6,67.0,73.0,3.12,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Th1 Ru3 C1,0.0,13667.0,0.0,2.0,2.09,2.55,4.0,2.0,0.0,2023.0,0.4,8.0,14.0,2.2,2733.4,0.6400000000000001,13.51,8.0,5.64,11.0,41.0,56.0,77.0,10.45,2607.0,31.0,44.0,101.07,9.919999999999996,2.3200000000000007,261.0,8.200000000000001,52.2,61.0,2.88,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002,1.2800000000000002
Th1 Si3 Ir1,0.0,9823.0,4.0,6.0,1.84,2.2,4.0,2.0,2.0,1687.0,1.2,14.0,14.0,1.9,1964.6,0.96,20.44,4.0,14.21,11.0,54.0,78.0,78.0,9.2,1687.0,2.0,14.0,28.0855,0.9600000000000024,3.84,310.0,10.8,62.0,62.0,2.16,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Th1 Si3 Os1,0.0,10390.0,4.0,6.0,1.84,2.2,4.0,2.0,2.0,1687.0,1.2,14.0,14.0,1.9,2078.0,0.96,20.44,4.0,14.09,11.0,53.0,78.0,78.0,9.2,1687.0,33.0,14.0,28.0855,10.4,4.08,307.0,10.6,61.4,62.0,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Th1 Si3 Rh1,0.0,9321.0,4.0,6.0,1.856,2.28,4.0,2.0,2.0,1687.0,1.2,14.0,14.0,1.9,1864.2,0.96,20.44,4.0,13.64,11.0,54.0,78.0,78.0,9.28,1687.0,2.0,14.0,28.0855,0.9600000000000024,3.84,309.0,10.8,61.8,62.0,2.4000000000000004,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Th1 Si3 Ru1,0.0,9691.0,4.0,6.0,1.84,2.2,4.0,2.0,2.0,1687.0,1.2,14.0,14.0,1.9,1938.2,0.96,20.44,4.0,13.51,11.0,53.0,78.0,78.0,9.2,1687.0,33.0,14.0,28.0855,10.4,4.08,306.0,10.6,61.2,62.0,2.16,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
Th1 Ta1 N3,0.3495,5502.15,3.0,9.0,2.384,3.04,3.0,3.0,3.0,63.05,1.7999999999999998,15.0,15.0,3.04,1100.4299999999998,1.44,14.76875,5.0,14.76875,12.0,53.0,82.0,82.0,11.920000000000002,63.05,35.0,7.0,14.0067,15.839999999999996,5.279999999999999,310.0,10.6,62.0,66.0,1.2000000000000002,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
Ti3 Al1 C1,0.0,10579.47,0.0,3.0,1.756,2.55,8.0,2.0,0.0,933.47,0.6000000000000001,4.0,14.0,1.54,2115.894,0.72,16.69,4.0,5.64,10.0,39.0,43.0,77.0,8.780000000000001,1941.0,31.0,22.0,47.867,9.919999999999996,4.5600000000000005,279.0,7.800000000000001,55.8,34.0,0.96,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
Ti3 In1 C1,0.0,10075.75,0.0,3.0,1.79,2.55,8.0,2.0,0.0,429.75,0.6000000000000001,4.0,14.0,1.54,2015.15,0.72,16.69,4.0,5.64,10.0,39.0,43.0,77.0,8.95,1941.0,55.0,22.0,47.867,17.6,4.5600000000000005,281.0,7.800000000000001,56.2,34.0,2.72,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
Ti3 Pd1 O1,0.0,7705.85,0.0,4.0,2.052,3.44,8.0,4.0,0.0,54.8,0.8,4.0,16.0,1.54,1541.17,1.2800000000000002,16.69,4.0,9.105,12.0,38.0,43.0,87.0,10.26,1941.0,213.0,22.0,47.867,60.72000000000001,4.32,278.0,7.6,55.60000000000001,44.0,2.72,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.6400000000000001
La3 Tl1 C1,0.0,7979.0,0.0,3.0,1.4940000000000002,2.55,9.0,2.0,0.0,577.0,0.6000000000000001,3.0,14.0,1.1,1595.8,0.72,36.8975,3.0,5.64,11.0,36.0,13.0,77.0,7.47,1193.0,0.0,57.0,138.90547,0.0,5.040000000000001,192.0,7.200000000000001,38.4,64.0,2.9600000000000004,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16
La1 Al3 Au1,0.0,5330.74,5.0,3.0,1.694,2.54,5.0,1.0,1.0,933.47,0.6,13.0,13.0,1.61,1066.148,0.48,16.48,3.0,16.48,10.0,53.0,73.0,73.0,8.469999999999999,933.47,31.0,13.0,26.9815386,9.919999999999996,3.039999999999999,298.0,10.6,59.6,60.0,3.12,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004
La1 Al3 Cu1,0.0,5351.18,5.0,3.0,1.5659999999999998,1.9,5.0,1.0,1.0,933.47,0.6,13.0,13.0,1.61,1070.236,0.48,16.48,3.0,11.07,10.0,53.0,73.0,73.0,7.83,933.47,31.0,13.0,26.9815386,9.919999999999996,3.039999999999999,296.0,10.6,59.2,60.0,3.12,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004
La1 Al1 O3,3.7121,2290.8700000000003,2.0,13.0,2.606,3.44,2.0,4.0,4.0,54.8,2.6,16.0,16.0,3.44,458.174,1.6800000000000002,9.105,6.0,9.105,13.0,64.0,87.0,87.0,13.03,54.8,213.0,8.0,15.9994,94.8,3.92,347.0,12.8,69.4,74.0,0.32,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
